SNR,PSNR,LPIPS
14.8,22.373531341552734,0.17485174536705017
14.9,22.384328842163086,0.17530082166194916
15.0,22.58523941040039,0.15876656770706177
15.1,22.604690551757812,0.1619645357131958
15.2,22.859352111816406,0.15538868308067322
15.3,22.800777435302734,0.16253256797790527
15.4,22.887971878051758,0.15620732307434082
15.5,22.870315551757812,0.15435895323753357
15.6,22.97728157043457,0.15767371654510498
15.7,23.181488037109375,0.15094077587127686
15.8,23.128427505493164,0.1472068727016449
15.9,23.27178192138672,0.1444462388753891
